company;segment;access;type;offer_name;download (Mbps);upload (Mbps);volume (GB);volume_obh;mobile;extra_esim;tv;tel_fixe;mailboxes;NDD;hotspot;wifi_boost;backup;option_secu;fms;price;modem;promo_mois;option_mobile;option_tv;option_ip;option_tel_fixe;option_backup
orange;soho;FWA;Internet;Home Flybox Pro 150 GB;210;nan;50;100;no;no;no;no;no;no;no;no;no;no;nan;20,66;32,23;12;no;no;no;no;no
orange;soho;FWA;Internet;Home Flybox Pro 15 GB;210;nan;15;15;no;no;no;no;no;no;no;no;no;no;nan;16,53;32,23;12;no;no;no;no;no
orange;soho;nan;Internet+mobile;Orange Entrepreneurs;150;15;ilimite;ilimite;yes;no;no;no;no;no;no;yes;yes;no;nan;48,76;0;0;yes;yes;no;yes;no
orange;consumer;FWA;Internet;Home Flybox 150GB;210;nan;50;100;no;no;no;no;no;no;no;no;no;no;nan;25;39;12;no;no;no;no;no
orange;consumer;FWA;Internet;Home Flybox 15GB;210;nan;15;15;no;no;no;no;no;no;no;no;no;no;nan;20;39;12;no;no;no;no;no
orange;consumer;cable;Internet;Home Internet;150;15;ilimite;ilimite;no;no;no;no;no;no;no;no;no;no;59;46;0;0;no;yes;no;yes;no
orange;consumer;cable;Internet+tv;Home Internet & TV;150;15;ilimite;ilimite;no;no;yes;no;no;no;no;no;no;no;59;65;0;0;no;no;no;no;no
orange;soho;fiber;Internet;Home Fiber Pro;1000;200;ilimite;ilimite;no;no;no;no;no;no;no;no;no;no;48,76;41,31;0;0;no;no;no;no;no
orange;soho;fiber;Internet+mobile;Love Pro + mobile;1000;200;ilimite;ilimite;no;no;no;no;no;no;no;no;no;no;48,76;36,36;0;0;yes;no;no;no;no
orange;soho;fiber;Internet+mobile+tv;Love Pro + mobile +tv;1000;200;ilimite;ilimite;no;no;no;no;no;no;no;no;no;no;48,76;36,36;0;0;yes;yes;no;no;no
orange;consumer;fiber;Internet;Home Fiber;150;15;ilimite;ilimite;no;no;no;no;no;no;no;no;no;no;59;40;0;0;no;no;no;no;no
orange;consumer;fiber;Internet+mobile;Love Fiber + mobile;150;15;ilimite;ilimite;yes;no;no;no;no;no;no;no;no;no;59;44;0;0;no;no;no;no;no
orange;consumer;fiber;Internet+mobile+tv;Love Fiber + mobile + TV light;150;15;ilimite;ilimite;yes;no;yes;no;no;no;no;no;no;no;59;54;0;0;no;no;no;no;no
orange;consumer;nan;Internet+mobile;Love + mobile;150;15;ilimite;ilimite;yes;no;no;no;no;no;no;no;no;no;59;40;0;0;no;no;no;no;no
orange;consumer;nan;Internet+mobile;Love Boost + mobile;400;40;ilimite;ilimite;yes;no;no;no;no;no;no;no;no;no;59;55;0;0;no;no;no;yes;no
